,Locality,Area in km²,Population as of 2008,Density inhabitants per km²,latitude,longitude
0,(0101) Mitte,10.7,79582,7445,52.5176896,13.4023757
1,(0102) Moabit,7.72,69425,8993,52.5301017,13.3425422
2,(0103) Hansaviertel,0.53,5889,11111,52.5191234,13.3418725
3,(0104) Tiergarten,5.17,12486,2415,52.5145,13.3501
4,(0105) Wedding,9.23,76363,8273,52.550123,13.34197
5,(0106) Gesundbrunnen,6.13,82729,13496,52.5509201,13.384846
6,(0201) Friedrichshain,9.78,114050,11662,52.5122154,13.4502904
7,(0202) Kreuzberg,10.4,147227,14184,52.4860843,13.3859508
8,(0301) Prenzlauer Berg,11,142319,12991,52.5398466,13.4285652
9,(0302) Weißensee,7.93,45485,5736,52.5546193,13.4630018
10,(0303) Blankenburg,6.03,6550,1086,51.9025639,4.2561566
11,(0304) Heinersdorf,3.95,6580,1666,52.5728248,13.4370149
12,(0305) Karow,6.65,18258,2746,52.6150868,13.4862758
13,(0306) Stadtrandsiedlung Malchow,5.68,1166,205,52.5710194,13.4632849
14,(0307) Pankow,5.66,55854,9868,52.5976367,13.43637398
15,(0308) Blankenfelde,13.4,1917,144,52.3333,13.4
16,(0309) Buch,18.2,13188,727,52.6414,13.4965
17,(0310) Französisch Buchholz,12,18766,1560,52.6105131,13.4281104
18,(0311) Niederschönhausen,6.49,26903,4145,52.5858062,13.401397
19,(0312) Rosenthal,4.9,8933,1823,52.5969,13.3861
20,(0313) Wilhelmsruh,1.37,7216,5267,52.5880115,13.3622059
21,(0401) Charlottenburg,10.6,118704,11198,59.4371555,16.4981215
22,(0402) Wilmersdorf,7.16,92815,12963,52.4871152,13.3203298
23,(0403) Schmargendorf,3.59,19750,5501,52.4789022,13.2929962
24,(0404) Grunewald,22.3,10014,448,52.4834,13.2658
25,(0405) Westend,13.5,37883,2800,52.5162,13.26
26,(0406) Charlottenburg-Nord,6.2,17327,2795,52.5405253,13.2962663
27,(0407) Halensee,1.27,13966,10997,52.4972262,13.2929986
28,(0501) Spandau,8.03,33433,4164,52.535788,13.1977924
29,(0502) Haselhorst,4.73,13668,2891,52.5413233,13.231156
30,(0503) Siemensstadt,5.66,11388,2012,52.5398082,13.2568934
31,(0504) Staaken,10.9,41470,3810,52.5322705,13.1433666
32,(0505) Gatow,10.1,3908,386,52.4856409,13.1801341
33,(0506) Kladow,14.8,13628,922,52.4602925,13.1400517
34,(0507) Hakenfelde,20.4,26337,1292,52.5609908,13.1967693
35,(0508) Falkenhagener Feld,6.88,34778,5056,52.5524034,13.1668941
36,(0509) Wilhelmstadt,10.4,37080,3558,52.5139207,13.1914518
37,(0601) Steglitz,6.79,70555,10391,52.4572569,13.3222865
38,(0602) Lichterfelde,18.2,78338,4300,52.437293,13.3138645
39,(0603) Lankwitz,6.99,40385,5778,52.4336977,13.3454858
40,(0604) Zehlendorf,18.8,57902,3075,52.4343217,13.2589298
41,(0605) Dahlem,8.39,14966,1784,52.4573805,13.2810976
42,(0606) Nikolassee,19.6,15899,811,52.4262495,13.1981446
43,(0607) Wannsee,23.7,9044,382,52.4211482,13.1589374
44,(0701) Schöneberg,10.6,116743,11003,52.482157,13.3551901
45,(0702) Friedenau,1.65,26736,16204,52.472075,13.3296424
46,(0703) Tempelhof,12.2,54382,4458,52.4632921,13.3864477
47,(0704) Mariendorf,9.38,48882,5211,52.44008,13.3900277
48,(0705) Marienfelde,9.15,30151,3295,52.4125766,13.3665916
49,(0706) Lichtenrade,10.1,49451,4896,52.3872834,13.3964905
50,(0801) Neukölln,11.7,154127,13173,52.4811497,13.4353501
51,(0802) Britz,12.4,38334,3091,52.4483324,13.4423401
52,(0803) Buckow,6.35,38018,5987,52.5672167,14.0761529
53,(0804) Rudow,11.8,41040,3478,52.4146801,13.4986183
54,(0805) Gropiusstadt,2.66,35844,13475,52.4249493,13.466183
55,(0901) Alt-Treptow,2.31,10426,4513,52.4925634,13.4598743
56,(0902) Plänterwald,3.01,10618,3528,52.4795439,13.4788076
57,(0903) Baumschulenweg,4.82,16780,3481,52.4608,13.4813
58,(0904) Johannisthal,6.54,17650,2699,52.4459114,13.504547
59,(0905) Niederschöneweide,3.49,10043,2878,52.4548197,13.5178766
60,(0906) Altglienicke,7.89,26101,3308,52.4118382,13.5426461
61,(0907) Adlershof,6.11,15112,2473,52.4378932,13.5475496
62,(0908) Bohnsdorf,6.52,10751,1649,52.4022426,13.5706649
63,(0909) Oberschöneweide,6.18,17094,2766,52.4624563,13.5234762
64,(0910) Köpenick,34.9,59201,1695,52.4539099,13.5764126
65,(0911) Friedrichshagen,14,17285,1233,52.4493804,13.6262724
66,(0912) Rahnsdorf,21.5,8891,414,52.4353129,13.7003862
67,(0913) Grünau,9.13,5482,600,52.4046,13.5928
68,(0914) Müggelheim,22.2,6350,286,52.4121651,13.6619543
69,(0915) Schmöckwitz,17.1,4117,240,52.3756651,13.6488551
70,(1001) Marzahn,19.5,102398,5240,52.5429481,13.563142
71,(1002) Biesdorf,12.4,24543,1973,52.5087,13.5614
72,(1003) Kaulsdorf,8.81,18732,2126,52.5101316,13.5809901
73,(1004) Mahlsdorf,12.9,26852,2075,52.5086995,13.6131624
74,(1005) Hellersdorf,8.1,72602,8963,52.5368537,13.6047745
75,(1101) Friedrichsfelde,5.55,50010,9011,52.5029358,13.5205456
76,(1102) Karlshorst,6.6,21329,3232,52.4837034,13.5233553
77,(1103) Lichtenberg,7.22,32295,4473,52.5196723,13.4950457
78,(1104) Falkenberg,3.06,1164,380,52.5782,13.5477
79,(1106) Malchow,1.54,450,292,52.5799,13.4864
80,(1107) Wartenberg,6.92,2433,352,52.5753945,13.5175821
81,(1109) Neu-Hohenschönhausen,5.16,53698,10407,52.5663309,13.514065
82,(1110) Alt-Hohenschönhausen,9.33,41780,4478,52.5504091,13.5025491
83,(1111) Fennpfuhl,2.12,30932,14591,52.5287849,13.4734687
