,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,(0101) Mitte,52.517689600000004,13.402375699999999,Lustgarten,52.518469490131785,13.399454063404399,Garden
1,(0101) Mitte,52.517689600000004,13.402375699999999,Marx-Engels-Forum,52.51878766951306,13.403253588072655,Park
2,(0101) Mitte,52.517689600000004,13.402375699999999,Central Berlin,52.519535,13.404598,Garden
3,(0101) Mitte,52.517689600000004,13.402375699999999,Berliner Dom,52.51913265308326,13.401045799255371,Church
4,(0101) Mitte,52.517689600000004,13.402375699999999,Kastanienwäldchen,52.518168398909225,13.395209190386664,Park
5,(0102) Moabit,52.530101699999996,13.342542199999999,Unionspark,52.53158325858051,13.338415028565663,Park
6,(0102) Moabit,52.530101699999996,13.342542199999999,Kleiner Tiergarten,52.52564684229104,13.343458390377009,Park
7,(0102) Moabit,52.530101699999996,13.342542199999999,Spielplatz am Stephanplatz,52.533600086565095,13.347075753021594,Playground
8,(0102) Moabit,52.530101699999996,13.342542199999999,PARK ONE Tiefgarage Schultheiss Quartier,52.5265992,13.3438481,Parking
9,(0102) Moabit,52.530101699999996,13.342542199999999,Am Park,52.52590513001582,13.343337945517801,Mediterranean Restaurant
10,(0103) Hansaviertel,52.51912339999999,13.341872500000001,Englischer Garten,52.52278269450055,13.339375278600533,Park
11,(0103) Hansaviertel,52.51912339999999,13.341872500000001,Spielplatz an der Akademie der Künste,52.51920120184819,13.34815263748169,Playground
12,(0104) Tiergarten,52.5145,13.3501,Tiergarten,52.51462778550934,13.357207775115967,Park
13,(0104) Tiergarten,52.5145,13.3501,Tuntenwiese,52.51283903408561,13.349715784284044,Park
14,(0104) Tiergarten,52.5145,13.3501,Schlosspark Bellevue,52.517970572031565,13.351049423217773,Park
15,(0104) Tiergarten,52.5145,13.3501,Rosengarten,52.513972285563135,13.35688796731381,Garden
16,(0104) Tiergarten,52.5145,13.3501,Regenbogenwiese Tiergarten,52.51209234371832,13.35129312322586,Park
17,(0104) Tiergarten,52.5145,13.3501,Tiergarten,52.51092582703233,13.352447916600287,Neighborhood
18,(0105) Wedding,52.550123,13.341970000000002,Goethepark,52.54682890763911,13.338853467149123,Park
19,(0106) Gesundbrunnen,52.5509201,13.384846,Rosengarten,52.547565015384365,13.38720702048652,Park
20,(0106) Gesundbrunnen,52.5509201,13.384846,Berliner Unterwelten e.V.,52.54774454143173,13.388863673656248,History Museum
21,(0106) Gesundbrunnen,52.5509201,13.384846,MOXY Berlin Humboldthain Park,52.549568249587495,13.384071431974007,Hotel
22,(0106) Gesundbrunnen,52.5509201,13.384846,AC Hotel by Marriott Berlin Humboldthain Park,52.549587483152344,13.384214263287504,Hotel
23,(0201) Friedrichshain,52.512215399999995,13.4502904,Comeniusplatz,52.511831,13.447588,Plaza
24,(0201) Friedrichshain,52.512215399999995,13.4502904,Grünanlage Kadiner Str.,52.514287853721925,13.450777685500706,Park
25,(0201) Friedrichshain,52.512215399999995,13.4502904,Wriezener Park,52.50867934706588,13.446847200393677,Park
26,(0202) Kreuzberg,52.4860843,13.3859508,Viktoriapark,52.488477378543585,13.380188941955566,Park
27,(0202) Kreuzberg,52.4860843,13.3859508,Nationaldenkmal zur Erinnerung an die Befreiungskriege,52.48773703838966,13.381530796852738,Sculpture Garden
28,(0202) Kreuzberg,52.4860843,13.3859508,XBergHütte,52.48746014668177,13.381943075668454,Café
29,(0202) Kreuzberg,52.4860843,13.3859508,Spielplatz Chamissoplatz,52.488137002901624,13.391173741111338,Playground
30,(0202) Kreuzberg,52.4860843,13.3859508,Kreuzberg im Viktoriapark,52.4876580487968,13.381501903949502,Scenic Lookout
31,(0301) Prenzlauer Berg,52.539846600000004,13.4285652,Ernst-Thälmann-Park,52.538648409027026,13.43329668045044,Park
32,(0301) Prenzlauer Berg,52.539846600000004,13.4285652,Park hinter dem Planetarium,52.54266796907242,13.429155349731445,Park
33,(0301) Prenzlauer Berg,52.539846600000004,13.4285652,Fröbelplatz,52.53857505105468,13.426495313795074,Park
34,(0301) Prenzlauer Berg,52.539846600000004,13.4285652,georg wasmer landschaftsarchitekten,52.5366762,13.425027499999942,Garden
35,(0301) Prenzlauer Berg,52.539846600000004,13.4285652,Teich im Thählmann Park,52.539148409508094,13.434590215986097,Lake
36,(0301) Prenzlauer Berg,52.539846600000004,13.4285652,Schwimmhalle Ernst-Thälmann-Park,52.540718474457606,13.433609453899674,Water Park
37,(0302) Weißensee,52.5546193,13.4630018,Park am Weißen See,52.55283512189626,13.461959213912118,Park
